"","V1","V2","V3","V4"
"3789",0.1,-0.205646782071146,0.5,0.368311425416869
"3790",0.1,0.243481829375709,0.5,0.315191989137892
"3791",0,0,0,0
"3792",0.1,0.410752772008889,0.5,0.342512296383905
"3793",0,0,0,0
"3794",0,0,0,0
"3795",0,0,0,0
"3796",0.1,-0.0103141323141069,0.5,0.414353819301694
"3797",0,0,0,0
"3798",0.1,0.254238057516805,0.5,0.364542961818809
"3799",0,0,0,0
"3800",0,0,0,0
"3801",0,0,0,0
"3802",0.1,-0.022074210907241,0.5,0.348848831999226
"3803",0,0,0,0
"3804",0,0,0,0
"3805",0,0,0,0
"3806",0,0,0,0
"3807",0.1,0.264781496192982,0.01,0.404843931763207
"3808",0.1,0.146662655359804,0.5,0.421211865092868
"3809",0.1,0.0503500748082657,0.5,0.45714186297357
"3810",0,0,0,0
"3811",0,0,0,0
"3812",0,0,0,0
"3813",0,0,0,0
"3814",0,0,0,0
"3815",0.1,0.196195799841702,0.5,0.393216461574077
"3816",0.1,0.0164235705682024,0.5,0.462960717107825
"3817",0,0,0,0
"3818",0.1,-0.11839516731388,0.5,0.347278770973344
"3819",0,0,0,0
"3820",0,0,0,0
"3821",0,0,0,0
"3822",0,0,0,0
"3823",0,0,0,0
"3824",0.1,-0.110737066921217,0.5,0.393951319018967
"3825",0,0,0,0
"3826",0.1,-0.01,0.5,0.401224200840096
"3827",0.1,0.5,0.10753977751238,0.414750507058511
"3828",0.1,0.406391518749032,0.5,0.365414271795416
"3829",0.1,0.0633186276419251,0.5,0.371369863328869
"3830",0,0,0,0
"3831",0.1,-0.01,0.5,0.396811717747507
"3832",0,0,0,0
"3833",0,0,0,0
"3834",0,0,0,0
"3835",0.1,-0.426656133589482,0.5,0.477669894648745
"3836",0,0,0,0
"3837",0.1,0.248162208353912,0.5,0.386317233933967
"3838",0.1,-0.384572955915024,0.5,0.480409453758654
"3839",0.1,0.5,0.5,0.393991076115525
"3840",0.1,0.302101345407681,0.5,0.469282216914884
"3841",0.1,-0.01,0.5,0.556499296699673
"3842",0.1,-0.01,0.5,0.523478126982249
"3843",0.1,-0.159494847789156,0.5,0.543873746942414
