"","V1"
"1",-0.00404717754605299
"2",-0.00405020371100773
"3",-0.0040491289717578
"4",-0.00405250583243888
"5",-0.00405889997641373
"6",-0.00406210292407638
"7",-0.00405004683066801
"8",-0.00403931040942873
"9",-0.00404207104714072
"10",-0.00408621507329465
"11",-0.00407725036839479
"12",-0.00408074491848798
"13",-0.00408994304992816
"14",-0.00410880271552727
"15",-0.0040970215857653
"16",-0.00410393287178534
"17",-0.00374451808108744
"18",-0.00275635405495211
"19",-0.0012682827366497
"20",-0.00114939562777183
"21",-0.000950094399139179
"22",-0.000940939162115906
"23",-0.000712412479870639
"24",-0.000540345881392068
"25",-0.000568153883006794
"26",-0.000520384630398607
"27",-0.000378166495603849
"28",-0.000375797130148126
"29",-0.000243078350850467
"30",-4.69526545904264e-05
"31",1.17004609848648e-05
"32",1.46898939575868e-05
"33",1.39007779997868e-06
"34",0.000135725527263264
"35",0.000117757747747804
"36",0.000128074462561578
"37",0.000108446375969851
"38",0.000104897914543045
"39",9.128109245371e-05
"40",6.07081776746732e-05
"41",5.90590069948771e-05
"42",6.8477475365869e-05
"43",8.13374559006652e-05
"44",0.000126765556351716
"45",9.32341157316996e-05
"46",0.000121246243660944
"47",0.000167866005584716
"48",0.00012899779980402
"49",0.000146608051904362
"50",0.00014940834502819
"51",0.000162483249636858
"52",0.000180773153671598
"53",0.0001539332486169
"54",0.000157324732306563
"55",0.000153483495285212
"56",0.000112852745636993
"57",0.000149434714488361
"58",0.0001442607196529
"59",0.000167283219780767
"60",0.000170266861487134
"61",0.000177835434067908
"62",0.000194391024851082
"63",0.000166314807612644
"64",0.000154824272601273
"65",0.000194590069604095
"66",0.000186610901753981
"67",0.00021375257822065
"68",0.000210125604562794
"69",0.000209598592528448
"70",0.000206286728019034
"71",0.000219426915164744
"72",0.000253863755817485
"73",0.000248790965791668
"74",0.000262822880995328
"75",0.000228054389521892
"76",0.000223033113902704
"77",0.000222097756290118
"78",0.000222209745617374
"79",0.000233130473680565
"80",0.000200647550666289
"81",0.00018091481149729
"82",0.000137604327185126
"83",0.00018567348836307
"84",0.00015448974846588
"85",0.000145272497980908
"86",0.000143959879111422
"87",0.000143046378750733
"88",0.00016148082861811
"89",0.000131103973816771
"90",0.000141059172039881
"91",0.000133391939967309
"92",0.000129540188166022
"93",0.000121432129862598
"94",0.00012679660722037
"95",0.000117411477936979
"96",0.000210493915078658
"97",0.000198239271801737
"98",0.000197376164271512
"99",0.000174762919354809
"100",0.000168464245451583
"101",0.000142839475996581
"102",0.000443643908576985
"103",0.00132164925402711
"104",0.0020994181831665
"105",0.00225006338580924
"106",0.0024331629272728
"107",0.00242572716263056
"108",0.00241283062061504
"109",0.00238361788646069
"110",0.00251190320918748
"111",0.00243809192654032
"112",0.00255826591524566
"113",0.00263475382158807
"114",0.00264275938089586
"115",0.00255754039765244
"116",0.00245720042639375
"117",0.00245154921599211
"118",0.00244479438088674
"119",0.00225855296213184
"120",0.00219504509949753
"121",0.00212976840551404
"122",0.00203412150376536
"123",0.00196008310435125
"124",0.0018450694347607
"125",0.00182969923977971
"126",0.00176724069636036
"127",0.00156326684958219
"128",0.00155343841826239
"129",0.00148109204174685
"130",0.00118522530421739
"131",0.00109462029266072
"132",0.000958285565883399
"133",0.000832671497798088
"134",0.000658502211094092
"135",0.000547581064134883
"136",0.00048648624190184
"137",0.00039005198085329
"138",0.000225263429628364
"139",0.000121472785764576
"140",-0.000104210983578823
"141",-0.000663231713280754
"142",-0.000954969028129637
"143",-0.000964538796654923
"144",-0.0010823826180969
"145",-0.00116513055280665
"146",-0.00123948861317646
"147",-0.00123902026586353
"148",-0.00124240197463421
"149",-0.0012537216496471
"150",-0.00124477995660832
"151",-0.00121494864690963
"152",-0.0012325177984559
"153",-0.00124182461898659
"154",-0.00125053242774642
"155",-0.00127013311427548
"156",-0.00132290888439501
"157",-0.00141727215299636
"158",-0.00142109492953224
"159",-0.00140384786327541
"160",-0.00150536477498708
"161",-0.00152970788652451
"162",-0.0014105740224889
"163",-0.0013997775887693
"164",-0.00140366756863031
"165",-0.00150218474238273
"166",-0.00158540571493682
