"","","","","",""
"134",-3411.45505063273,-3855.81216450352,-3915.10536505696,-3928.32110287141,-3927.71930789442
"135",-11231.771908108,-11242.8016080119,-11245.0876288236,-11238.0545701838,-11219.5728307289
"136",35350.3597477379,35349.7908027486,35031.9663541445,35039.7065818191,35038.7481263515
"137",27938.1016368557,25130.4950407542,24728.179385419,24720.2249803136,24675.9163865026
"138",38294.6313349541,35178.5363950814,35175.9277579489,35091.4293715963,35096.8887037418
"139",13678.0842058417,7450.35831402686,5703.66854329769,5699.5219718432,5655.56214308234
"140",-18477.6472119966,-18686.5239773185,-18757.3746797653,-18748.3150677692,-18736.7511454303
"141",-15928.4908257395,-16146.9928234637,-16238.4625556105,-16268.7178425244,-16251.2826382612
"142",-20276.2207050436,-21077.179811703,-21427.7785990387,-21471.6671207878,-21457.2000955586
"143",40507.9771300329,38363.9066602993,37919.4297617304,37835.6368410678,37843.9242610693
"144",51080.8535565105,42022.8649047431,41570.8894497745,41513.0119732884,41529.0862048875
"145",-14450.183912957,-14764.9438366648,-14779.5297799337,-14811.9499620794,-14801.072953689
"146",29036.1289106537,26369.052214543,26363.3506700202,26381.0466230526,26399.2397034185
"147",-6303.26246496477,-11911.7571381197,-12186.3532084799,-12238.0885037733,-12233.3899781584
"148",28553.3994837388,28040.9928902674,27999.876535717,27968.2291922885,27986.2241559843
"149",41138.8140348459,38945.6688909091,38682.6907129717,38564.65300579,38549.1476049231
"150",49984.9065171929,40595.3667375447,40102.4934541298,40092.046184968,40110.3046810634
"151",-3401.631027873,-4580.5066943898,-4698.9582306197,-4705.56769335335,-4688.85341654768
"152",-2907.98531611314,-2973.1851492922,-2995.84346597588,-2985.55414735626,-2968.53812897656
"153",5237.61534225192,5071.67190151072,5017.93777793704,5033.63549075856,5049.03542000774
"154",-1923.07736700362,-2024.48425764857,-2020.03069752185,-2006.92232974866,-1990.02466027477
"155",6413.49027112328,3684.93715978721,3656.95218540837,3512.95731075433,3491.55085861847
"156",-6437.19843427938,-6427.42240892403,-6418.84530688247,-6407.73538558922,-6389.42578351052
"157",1288.41863469644,-1984.81998581584,-2056.49238131943,-2145.87075498554,-2129.13599220929
"158",-11812.96037235,-12933.1328207956,-12947.4823045108,-12948.0521904825,-12960.4057808919
"159",-10712.9844934463,-11418.6733056855,-11442.0721722843,-11462.0939248852,-11461.3834494423
"160",-11982.0827515951,-13014.8506543729,-13001.6658920515,-12997.6412408554,-12991.7431793702
"161",44725.111556208,42122.7064770896,42106.5299967542,42058.7845117211,42057.3487058645
"162",-14993.264281414,-16153.5291134398,-16171.1416748304,-16187.248622333,-16175.4485657673
"163",-10843.3311067637,-15322.8933022421,-16950.1509647654,-17293.3508655142,-17287.5253089655
"164",-11948.0768887194,-12445.3347263841,-12460.8187778544,-12465.6073950243,-12478.4328788943
"165",38295.8511427087,38149.2234801282,37997.7004423159,37990.602842715,38005.0784662612
"166",-6343.88560818923,-11142.1955902528,-11794.2232589085,-12008.9156002902,-11996.1653591854
"167",-6690.51568318856,-6802.2129277579,-6786.95818417891,-6788.4256448676,-6770.83579200278
"168",-9504.51289165105,-15579.1249885363,-16298.2471354869,-16592.9481313214,-16637.3606680541
"169",43544.7464995561,43296.3709043949,43149.934448245,43124.2788651083,43087.5349293099
"170",48425.8704670744,38616.9548421829,38215.7900758842,38185.8925943929,38204.2074916007
"171",-26998.680111024,-30759.5860097887,-30857.6095758859,-30855.687180572,-30849.9816739423
"172",-17175.8074379071,-18864.6298832945,-18884.0198767631,-18880.0748305576,-18867.5358976903
"173",2954.93255195705,2749.10202842822,2698.18887002191,2708.12753217069,2724.86412792513
"174",-23163.8065198385,-23797.8651227556,-23845.5331388448,-23829.2417227647,-23824.1078554769
"175",32228.4483049149,30922.9169272181,30834.8131087138,30845.5068596096,30819.961110142
"176",-3415.71563438099,-4755.53507753253,-4824.90462824428,-4817.27438428942,-4797.15642301749
"177",-5779.01557376894,-7222.37560337155,-7213.60301049479,-7207.7862672437,-7194.2080230531
"178",-19031.9813424528,-19249.3983155274,-19348.0359986545,-19329.426317542,-19311.2101574974
"179",-8092.74935061164,-10273.3205664876,-10416.7373599235,-10509.3814355784,-10546.1645608797
"180",34095.9962747926,32635.2589879857,32194.7300344032,32135.683289181,32113.9855779938
"181",-8196.0487446574,-10959.2651235335,-11094.1222313139,-11085.8285209637,-11072.9966174707
"182",-19804.091457296,-23593.5003866486,-23651.9265440993,-23644.5963348129,-23628.8930233707
"183",-16160.6756177071,-16245.4327480879,-16270.1243403348,-16336.0297664182,-16373.5677818288
"184",-9933.44590986821,-11918.1474191081,-11924.2327811972,-11939.4902676863,-11931.8809456166
"185",46368.6990269844,43768.5320839306,43779.6202764217,43674.2969447551,43678.0483631661
"186",3554.10853735713,2373.55270090045,2383.93634401862,2399.3314593516,2414.65927271452
"187",-19366.0256031476,-21911.6067745291,-21901.0156096325,-21980.2346390843,-21963.3978600152
"188",-20303.910537766,-20782.5546830444,-20840.7196164442,-20825.4950485825,-20815.3434004439
"189",-3684.34264451121,-6488.12406206229,-7031.58321454823,-7046.11979542738,-7074.21516780983
"190",-22899.6568618086,-22993.0123123001,-23013.2501241175,-23012.6767864712,-22996.6484737918
"191",45213.8648202676,40264.932637373,40210.030225348,40226.3560052438,40243.8669442585
"192",23005.3963763919,17035.1904041113,14659.6881119362,14593.9922577112,14611.1808961244
"193",35111.1166041441,34309.864336532,34296.9427008468,34208.7259225244,34172.3123552729
"194",40492.1551914394,36392.9436143377,36265.0035070653,36161.6624770327,36157.5409005113
"195",-16460.1866465729,-19121.9685417755,-19338.580749788,-19335.1884825778,-19339.5856702461
"196",-6431.65114468485,-9995.79319546303,-10089.7878972701,-10090.932437067,-10075.7132866857
"197",-18497.7247912056,-19921.5880849335,-19990.8402666126,-19987.6918594229,-19991.1575498797
"198",-5282.16340750329,-6687.56796692384,-6684.5507478108,-6679.34887744676,-6663.49648236028
"199",-24610.9770457005,-28329.4781975341,-28428.4453473847,-28412.2375190866,-28400.6375666737
"200",43345.197201948,43299.9954696143,43118.0273514423,43133.2196053542,43149.0785748968
"201",40343.5142473294,39870.4010772381,39798.693534082,39795.0031845918,39776.4722591371
"202",28509.6394829657,27994.154590672,27900.5000483441,27879.0563132912,27895.8206692294
"203",33541.8409309856,31984.7713949093,31916.6183000654,31827.8845028931,31833.792131303
"204",5298.69203626044,4955.80952348321,4904.75445700514,4918.0670693175,4935.04640645443
"205",-16204.0227296869,-16820.9711416815,-16876.2042139711,-16914.2772805898,-16908.8597492594
"206",-11456.5979639893,-13164.8968334412,-13410.3512874561,-13417.6498244291,-13413.0445187544
"207",48800.6377243193,46051.4725559607,45911.8153372796,45923.9853937379,45932.9806694556
"208",-11553.7105002989,-13572.3738293091,-13952.9347000973,-14113.5441190571,-14133.5417098539
"209",45446.7656053646,45396.9973797431,45215.6909215129,45231.3221302769,45241.3046561093
"210",33191.4067208161,25496.8219181281,24709.426211177,24675.1686491882,24630.6427113979
"211",36165.0812334236,35358.8228903508,34892.9244372563,34797.7150659342,34799.4692635651
"212",41535.0933564157,40018.2716515727,39819.5516672177,39751.8408766705,39747.6239839891
"213",-21896.4549505691,-22790.0472026095,-22773.5523658655,-22791.8224129094,-22777.3193097319
"214",-22072.5952167592,-24995.7188133268,-25115.7430462449,-25116.3077522984,-25102.9570786054
"215",-10007.572714469,-12350.2410297841,-12346.1743784265,-12363.9624548042,-12359.428138189
"216",40534.5784419851,38299.3870986848,37868.0175044149,37782.2648053678,37790.1234117833
"217",-9433.5255598725,-10468.8000067471,-10450.9740457239,-10441.9648977192,-10437.0403327797
"218",38286.0933282013,37935.3746241159,37645.7324716123,37664.0914387822,37656.5695735796
"219",2519.03379260991,-346.561025200826,-460.353989170392,-477.76303316008,-494.693210614769
"220",-11499.8584747722,-11729.8008570414,-11926.6813720294,-11911.3649006654,-11899.0182501555
"221",-18122.5959661207,-20678.877957048,-20768.0226379986,-20800.8646048451,-20803.5148550045
"222",42837.3555534587,41981.1279153444,41943.7636604934,41878.7137146397,41860.560467394
"223",-19878.9578099739,-19940.0159860346,-19944.0080675475,-19928.0270139851,-19917.4095188
"224",-21653.2364644637,-23363.3192926531,-23545.7880272863,-23718.1887548993,-23724.050372709
"225",27770.8193134404,27631.6875788513,27416.4378406734,27380.5536850422,27347.3609237672
"226",-7380.3714659654,-12543.9434183687,-12635.9095899429,-12624.6992103475,-12633.731613158
"227",13335.7478416565,11454.134312547,11043.5789886124,11046.7186838143,11058.4236405019
"228",-20596.782141045,-20885.6712684654,-21418.0971197851,-21484.2087567968,-21468.7392975576
"229",50392.7743944234,41263.6444266238,40806.1276315033,40762.9121388305,40777.3712000081
"230",-23831.8897202298,-25548.9086770313,-25599.2693007333,-25744.4769441047,-25738.3775270131
"231",-11744.2696680684,-14581.2811941941,-14753.8863800881,-14893.7604526426,-14900.0473546811
"232",-10479.471760917,-11275.8257799245,-11309.4989038577,-11291.8019952837,-11280.6840476191
"233",49332.3831600124,43298.8634995722,43126.109008588,43072.9838637531,43083.6873685038
"234",34931.3502348847,34292.3109016779,34074.3788244319,34058.2156597761,34075.4979736863
"235",-4325.34265870643,-6652.94124337246,-6637.32196147978,-6664.35937623667,-6687.9323174615
"236",-14012.890451104,-14597.0343024131,-14927.7554926739,-14996.5750910361,-14994.9293023262
"237",22877.5231085677,22813.8179543949,22797.3564667442,22808.0740237162,22824.3544213802
"238",26563.8463819075,26252.1661561678,26173.1177954872,26172.6646365987,26187.6207068933
"239",41295.404622919,39103.8863446579,38926.9869838374,38805.3868884938,38786.5842587278
"240",45706.550468102,44692.5480074234,44430.4724796079,44299.953579427,44307.7569094995
"241",-3049.23982424746,-5242.43146801969,-5263.98186558978,-5293.60774599785,-5302.72148522893
"242",-15065.4830598429,-19266.6577695432,-19745.0299354126,-20114.2652016948,-20126.8600628606
"243",9030.15995917532,8710.51540735004,8703.81543705357,8665.08309000155,8672.61463777311
"244",-4873.44745527285,-10702.4071382957,-10736.3527013765,-10754.2037625585,-10735.9222352908
"245",37659.3657654281,35658.8151407622,35060.1165689978,35031.7338184354,35049.4667855022
"246",30799.6479315218,29014.4640337572,28575.4026269568,28562.3525864507,28543.639992852
"247",-8194.40233784642,-8516.49517873724,-8535.99835705506,-8524.29139472318,-8507.06453730419
"248",13749.68114259,13571.2148789058,13585.1650225106,13588.9590889486,13597.9315370524
"249",42244.9065531398,41392.5502669315,41399.653255098,41358.653451001,41357.4185146665
"250",36880.9301000401,36126.6685130293,35557.1811358274,35551.7904129869,35551.5876429327
"251",45977.3896134286,39163.8702101317,38721.8042333066,38730.5872730641,38746.9411381455
"252",42971.6252121302,42084.5612737752,41921.2439256707,41862.5897291633,41843.3903189626
"253",32572.6488006588,32534.8261738753,32421.9590100642,32429.6944743311,32440.0924785282
"254",14466.9166960722,13703.4896219097,13669.9168331366,13659.9572548155,13673.4752757241
"255",-11888.3290406775,-14552.7151569336,-14579.0084909761,-14584.6475874262,-14571.8847675917
"256",14764.6276334645,14666.5077126323,14619.7345527233,14630.8816255134,14649.777999547
"257",35295.9412313396,34545.3111373913,34259.2833373721,34131.0056426571,34117.4224799485
"258",39974.0750278889,39190.6456925392,39109.6546731583,39128.2313584126,39143.4123641538
"259",33431.4047633294,33046.0822232214,33030.9022753517,33035.2858456223,33048.6167511031
"260",-5529.52969001205,-6984.54681976688,-6987.38468960275,-6986.628159302,-6973.19180271733
"261",47724.5724430929,40519.5554808988,40101.0058267031,40101.53767408,40120.1075447361
"262",-12051.1619632581,-12690.7264463403,-13081.4736786102,-13081.7348987909,-13075.379387357
"263",40440.7623898202,38013.2377957373,37798.6866150382,37738.6671281118,37748.2507765603
"264",30855.3639431415,29736.3438077502,29009.821861026,28959.1269503757,28974.4251058686
"265",49837.4834187343,41134.7402636175,40756.2259180936,40743.3998135606,40760.7326057089
"266",6896.77266234992,6679.54055468717,6566.368777408,6545.77013409861,6555.55633805402
"267",47601.5218736907,43655.4731303329,43632.0674282296,43603.3056656504,43618.0794349576
"268",24392.9331503526,17226.8543413127,16802.2141510288,16780.0175887924,16728.0733536401
"269",40493.0248886861,37830.7232229135,37555.1572016579,37432.8840291003,37407.0649695467
"270",-7451.07957097351,-8080.45650283641,-8234.63912115185,-8249.05525184516,-8234.87468695123
"271",23598.8807852445,21563.6798216247,21441.5584307567,21421.4678526496,21411.9599966888
"272",15562.3139804363,12356.3474828,12226.2626394735,12235.3482265396,12218.0172138391
"273",-25417.8075744387,-30080.0918382877,-30175.3787760387,-30158.2235257905,-30177.1339673872
"274",-19869.3960888226,-20254.1630357636,-20256.7946298845,-20243.8133828184,-20233.3015689998
"275",-11266.2970742371,-12294.9158252484,-12476.3360988862,-12464.7499399484,-12448.9246766721
"276",46623.2698581604,42555.3659888676,42526.2608839627,42538.4045813495,42550.5717052957
"277",22105.1329431907,19458.6559863178,18627.4011350486,18483.3072921232,18478.4756887127
"278",42716.0001158489,41319.7352297002,41174.910531235,41133.9446268982,41137.3617119358
"279",19297.547526667,19042.4383065878,18893.9352760539,18892.4054260523,18911.2269422404
"280",30473.5934251863,29428.314874123,29444.645153306,29406.8198949671,29412.3881739872
"281",-10376.7597756899,-11526.2377485091,-11701.4185047119,-11699.5491198443,-11687.2139716001
"282",5266.45858778287,2195.35863983577,2195.92401600394,2179.34500510854,2198.01496862281
"283",41014.5096856434,40416.4078620395,40254.0625926424,40161.1187281559,40151.1056762588
"284",-612.956187822192,-5306.61818993942,-5703.8859090734,-5710.13744484952,-5705.95748117091
"285",26793.4749243865,19974.4062054364,19525.0183725892,19486.484815899,19483.0107633062
"286",-21961.8625705451,-24432.2410802922,-24412.2510171972,-24418.8702134098,-24412.7996352645
"287",29388.2237482903,27146.8787039868,25960.2260556523,25555.3927378977,25256.9856002087
"288",34604.1958243811,33026.7919679241,32885.7141551215,32885.6254382302,32850.9573011258
"289",43377.8710834405,42923.3580887032,42791.1326722214,42799.1796495693,42816.0895268809
"290",-15834.0576938042,-16572.4684024938,-16970.6664447414,-16993.9648770374,-17024.5160499997
"291",-16166.5019589342,-16647.0835605137,-16709.8115383163,-16701.7168288346,-16688.6970946103
"292",29801.9232916945,25413.6280432523,24474.9410912343,24309.5150577442,24323.7176268995
"293",34405.9152555518,34199.8311931204,34198.3760298853,34157.8921063518,34172.3761165285
"294",43054.5785099711,42969.8961678545,42540.530262433,42548.1297371834,42554.5578608388
"295",42400.9614747823,41566.6473945852,41568.8642239665,41545.9057065226,41533.7575797322
"296",36105.2039568105,35288.6290974541,34766.5930520531,34680.1629443545,34691.3035044014
"297",40722.5083835392,38250.0319731366,38055.1554403371,37933.8063739661,37914.2298138669
"298",-25409.9266348859,-26757.8389834557,-27076.5816749387,-27073.4746230443,-27057.5280431395
"299",20162.4513401066,17226.7358887701,15780.6145098823,15723.0032627829,15700.4887854011
"300",-13620.5227103175,-20275.3030713481,-20765.3424258644,-21291.4960970179,-21284.6522565526
"301",31419.6688127664,30342.5365442646,30286.414047978,30270.5000663813,30286.4654929502
"302",-11301.2343418388,-14246.2459114662,-14397.9374020559,-14392.1328382741,-14385.8307601885
"303",-7451.27620380337,-11235.1291940522,-11566.2946482883,-11578.9139516312,-11585.7824078216
"304",3013.97798358064,433.135695996695,310.128066543188,281.775139642962,300.353890108882
"305",32220.1703279368,24379.8898076267,23326.5234726848,23231.5236268912,23210.4363224689
"306",42897.9105161311,42806.6141546171,42697.2743475979,42704.679750212,42692.6007028951
"307",-13345.2932162735,-14478.9111320638,-14622.549025234,-14605.5628796167,-14587.5828529978
"308",4218.08798708915,3661.78170540168,3650.8491132123,3666.1560703191,3673.16545330514
"309",32930.542058821,32164.5940687394,32106.859213705,32107.4094192671,32105.8046501786
"310",43131.577384215,42269.4914925519,42186.7908778669,42112.0833187782,42095.2266454589
"311",42311.0476596225,41000.1445909115,40982.9078612302,40812.5131263824,40820.6157508092
