"","V1"
"1",0.995228202717927
"2",0.99313370308038
"3",0.984689230683752
"4",0.993433781102156
"5",0.993422178783872
"6",0.980382537279403
"7",0.992615548134615
"8",0.987101898917411
"9",0.993432214769605
"10",0.98270022615182
"11",0.974768917578108
"12",0.986700892132861
"13",0.983138873284361
"14",0.984340169648716
"15",0.983957459685932
"16",0.984975837896633
"17",0.975594421546246
"18",0.988065610931534
"19",0.969079351480394
"20",0.974076471329894
"21",0.991761631462965
"22",0.971958069099384
"23",0.981343818452937
"24",0.980426216293628
"25",0.97868798571918
"26",0.973780908671114
"27",0.968976713393092
"28",0.985321644883121
"29",0.979097143285421
"30",0.985762732619036
"31",0.981196587789862
"32",0.982707341099235
"33",0.982177284244191
"34",0.982004166087147
"35",0.979458377024466
"36",0.959165788072146
"37",0.949785794994442
"38",0.972109674077182
"39",0.970701945588243
"40",0.976189974294061
"41",0.978494533734153
"42",0.971772736680721
"43",0.981864299186245
"44",0.972222275914753
"45",0.979039801713599
"46",0.97741413360156
"47",0.97941738951358
"48",0.960325554986706
"49",0.954311878016389
"50",0.941232470785787
"51",0.956742759341905
"52",0.958763172862031
"53",0.96377074267689
"54",0.965697747393086
"55",0.960293812159514
"56",0.970948287828331
"57",0.974081882210916
"58",0.981133589152453
"59",0.958884839025087
"60",0.962135063586639
"61",0.969947181715148
"62",0.959909696905127
"63",0.944741070611137
"64",0.944733648497761
"65",0.927846122271028
"66",0.932574148142709
"67",0.939433694801834
"68",0.95532704428661
"69",0.939181086401463
"70",0.941867692773983
"71",0.951902674785518
"72",0.967570666573969
"73",0.969616979804727
"74",0.976721739113358
"75",0.950858379982642
"76",0.957488306202864
"77",0.950776093692772
"78",0.939949885670017
"79",0.939458231517913
"80",0.940447487236631
"81",0.933396769388844
"82",0.90509877294435
"83",0.905983009068746
"84",0.901930045892413
"85",0.931854165328718
"86",0.928129171696418
"87",0.93584306197647
"88",0.950976208079886
"89",0.946598172139072
"90",0.95867191799914
"91",0.949053722755314
"92",0.979156236847792
"93",0.956479781488882
"94",0.946157369002816
"95",0.947221904835544
"96",0.923871213323539
"97",0.921867307204074
"98",0.928315509013011
"99",0.936939795506365
"100",0.890750943057933
"101",0.897126940514828
"102",0.918007701328
"103",0.872698978988442
"104",0.895207162292379
"105",0.903423008385032
"106",0.908863945800708
"107",0.920888920979054
"108",0.931336344903145
"109",0.956332056504402
"110",0.946985423892247
"111",0.955051774825546
"112",0.968926783939713
"113",0.969411915036088
"114",0.946033078992115
"115",0.942990272714457
"116",0.914490855783579
"117",0.891642913607397
"118",0.895977424274273
"119",0.9042517575958
"120",0.913347219746518
"121",0.885580992491111
"122",0.880738904718076
"123",0.898727515849776
"124",0.880756345445351
"125",0.884500673595894
"126",0.885906969473216
"127",0.88466743537447
"128",0.915961786327793
"129",0.92155351067843
"130",0.937820005333437
"131",0.927794910349908
"132",0.945797128943919
"133",0.956358556683082
"134",0.969763430743909
"135",0.955165557948107
"136",0.939045973248878
"137",0.911398947114581
"138",0.907933403663542
"139",0.883742593201718
"140",0.891045265907326
"141",0.890219986574965
"142",0.89784379932634
"143",0.903652980479455
"144",0.87854252554609
"145",0.875862856057213
"146",0.900264043008514
"147",0.860553785135308
"148",0.869195176810383
"149",0.876882695817438
"150",0.867866464642864
"151",0.880514806388591
"152",0.8981417262117
"153",0.902063430116449
"154",0.907718424600795
"155",0.948887020659355
"156",0.940806510701602
"157",0.955760524351597
"158",0.957378508374841
"159",0.953247154194414
"160",0.91797362318869
"161",0.898541002124527
"162",0.887954801147879
"163",0.890097607560757
"164",0.835368253326339
"165",0.872977696851707
"166",0.852784736147437
"167",0.872753553618179
"168",0.885002883160298
"169",0.847753480203291
"170",0.850255381031429
"171",0.895704413238769
"172",0.87513730765707
"173",0.856376107627307
"174",0.887335543460167
"175",0.847246434862651
"176",0.882972820879341
"177",0.873365633234767
"178",0.881012386997445
"179",0.897502220207209
"180",0.913963939198379
"181",0.927511787427906
"182",0.932872804744291
"183",0.94383288176724
"184",0.951324563709616
"185",0.944249006929906
"186",0.913922472851765
"187",0.881914533876605
"188",0.880491152548208
"189",0.894541258957193
"190",0.859794137017224
"191",0.840250634067808
"192",0.849788162231965
"193",0.861079006324378
"194",0.863124895450365
"195",0.871444787782674
"196",0.884262825181736
"197",0.833644445225375
"198",0.89685384784242
"199",0.893316450251692
"200",0.869748834376508
"201",0.856858975685886
"202",0.836124042384314
"203",0.844514136901362
"204",0.867107356826272
"205",0.865518522013901
"206",0.857642462358887
"207",0.888519093257891
"208",0.89613237135214
"209",0.926203523873437
"210",0.922678922682185
"211",0.933139920281226
"212",0.930307740418926
"213",0.924737728631969
"214",0.912752283903755
"215",0.857682696234433
"216",0.871594386021932
"217",0.890224486608411
"218",0.869155841262171
"219",0.829457326206206
"220",0.825651562521613
"221",0.835207890911342
"222",0.856568462804694
"223",0.859534021989769
"224",0.858453235409562
"225",0.822212726291377
"226",0.831438997518159
"227",0.853149674983038
"228",0.879461479250971
"229",0.867443338822996
"230",0.82701874170132
"231",0.829838851596155
"232",0.817337025042757
"233",0.849966931302943
"234",0.864735446876006
"235",0.852142579943856
"236",0.854259837176635
"237",0.89692220947184
"238",0.901115105412239
"239",0.903486416174967
"240",0.910365763250236
"241",0.933597829195919
"242",0.929888389963021
"243",0.914812454953744
"244",0.897231142613128
"245",0.860070553256582
"246",0.833265146054077
"247",0.860684207555864
"248",0.851447955167591
"249",0.846164444933519
"250",0.81949787032603
"251",0.82184337470232
"252",0.84442431416393
"253",0.850468052430895
"254",0.869390227446707
"255",0.854978955043917
"256",0.785061882899603
"257",0.827322127560907
"258",0.878686147720669
"259",0.852104464748603
"260",0.855126476310781
"261",0.85347109824423
"262",0.830373946252502
