"","V1","V2","V3","V4","V5"
"result.912",-88494.8011222618,-88373.8384940724,-88411.8937940748,-88282.0252440327,-88118.550405695
"result.913",-87668.7601657033,-87498.0785761931,-87472.7061820037,-87333.5895635752,-87154.3522933598
"result.914",-87106.9322090371,-86957.3895909921,-86957.6009711495,-86818.5946778515,-86651.6348943435
"result.915",-87250.591586035,-87149.9161900226,-87141.3435128142,-87033.8165859204,-86877.4246945949
"result.916",-87049.1751917278,-86912.4435569009,-86850.1921985441,-86725.5248335552,-86556.0381999827
"result.917",-85990.6804251657,-85830.4271944658,-85967.360857531,-85854.6411078087,-85686.328034957
"result.918",-85272.9385787421,-85155.0592703542,-85198.0599785255,-85106.2243408777,-84934.921813081
"result.919",-84036.2717318047,-83902.969299161,-83912.0483994303,-83787.0509365644,-83613.2991669176
"result.920",-83417.5208894786,-83258.5910163717,-83309.5056395102,-83194.7436378217,-83023.7288990231
"result.921",-82304.1108400235,-82157.6773584917,-82181.0685384402,-82095.7048248408,-81994.1978390584
"result.922",-81496.8024763626,-81326.3509697704,-81420.5072723803,-81279.0520612744,-81114.9891216494
"result.923",-81117.7108063801,-80937.03326955,-80908.5376535825,-80759.8179069528,-80639.6494148505
"result.924",-80518.2448653891,-80334.3259341735,-80394.290267928,-80277.3945973748,-80091.6178915812
"result.925",-79921.3637706589,-79691.9223678394,-79781.9417039533,-79668.5195555211,-79518.6407161701
"result.926",-79750.2937167071,-79539.626180534,-79671.2764443613,-79579.2991497627,-79441.6197824542
"result.927",-79434.3373803697,-79254.7351673267,-79394.7122752322,-79268.1663924413,-79169.8549054282
"result.928",-79205.9513896034,-78996.7432013439,-79188.6736833953,-79052.1215348764,-78956.6430466892
"result.929",-78926.0773497973,-78707.8775739476,-79000.7314312149,-78864.2900493186,-78747.677273966
"result.930",-79537.5592712616,-79317.8306081263,-79441.2977469395,-79315.7564529626,-79162.4397076988
"result.931",-70510.0867910306,-70328.531602154,-70539.7494841828,-70387.1353191666,-70237.5739543636
"result.932",-79956.8773577544,-79739.4580822077,-79873.4318020566,-79742.5088680043,-79571.7008772796
"result.933",-79789.9899746197,-79582.5008661288,-79758.4926848639,-79625.3893351387,-79479.3603851987
"result.934",-79766.4283859297,-79541.5789448709,-79734.0682986836,-79610.3097371914,-79456.3341977671
"result.935",-79784.8889128412,-79553.234937779,-79747.100868058,-79599.9310074703,-79464.0563275798
"result.936",-79570.2452101383,-79348.2314636214,-79470.0616726988,-79315.8594331954,-79195.4359479379
"result.937",-80146.7592242202,-79928.9910356518,-80030.6531724923,-79886.9036193152,-79759.4499508678
"result.938",-79837.2920930249,-79672.1832031265,-79875.7136090728,-79802.3534826301,-79663.4135126556
"result.939",-81316.626993203,-81148.1713993495,-81157.7416244573,-81053.3455247695,-80888.8207052183
"result.940",-81714.9536898822,-81587.7100200826,-81680.7124579222,-81570.3316888753,-81420.698904699
"result.941",-82549.682011493,-82390.5084435796,-82369.1858782044,-82273.8435270155,-82128.3551706477
"result.942",-83530.0817745911,-83467.6770308728,-83538.0697759072,-83397.1519010323,-83263.7764425743
"result.943",-83836.2564163318,-83709.6373633399,-83761.4082511672,-83601.1340112522,-83472.0774615284
"result.944",-85716.9628659723,-85636.5362603394,-85701.4958338162,-85599.6524700014,-85436.5981895834
"result.945",-86545.8132525769,-86429.7511712573,-86431.0516151883,-86279.52594024,-86123.8177272945
"result.946",-86414.1944175468,-86232.8886182067,-86248.1804705733,-86146.6787996817,-85964.7280772481
"result.947",-87693.6529730641,-87614.5601091467,-87608.8454345225,-87481.9669315186,-87309.864213838
"result.948",-87455.7131300853,-87346.0911411164,-87350.2288308636,-87203.6279075647,-87064.3607343088
"result.949",-87415.1816898569,-87394.5744719084,-87445.5065929224,-87302.4434741122,-87162.4923546936
"result.950",-88990.2859032915,-88925.6972402419,-88895.517939861,-88724.5166235118,-88515.9460310348
"result.951",-88257.8103531426,-88142.4701909468,-88044.4840917107,-87903.2197248122,-87722.5128865603
"result.952",-88219.3529364992,-88012.7036179277,-87956.0902709578,-87801.6047389426,-87588.6925492716
"result.953",-89223.0771264241,-89074.4676015786,-89004.9833956081,-88853.7290717768,-88639.5547146247
"result.954",-89290.9392293411,-89104.7577734696,-89025.9397344216,-88921.6247375823,-88751.0356137902
"result.955",-88921.9206548961,-88776.0778110505,-88767.5590579021,-88658.0460660701,-88482.6420698729
"result.956",-88912.0636472064,-88671.0825442885,-88561.5562163806,-88416.5401626757,-88209.6308804222
"result.957",-88775.0011703041,-88547.568418124,-88487.1133821877,-88317.9980864464,-88124.4288293386
"result.958",-90205.1715338579,-89998.8943505757,-89981.6996589659,-89827.0078631305,-89660.1209385505
