"","x"
"1",0.929270251279592
"2",0.945432928955265
"3",0.936629160019652
"4",0.932873951732985
"5",0.956199066731314
"6",0.949184519137575
"7",0.946346284612092
"8",0.946754899025462
"9",0.94490589763935
"10",0.960634746824898
"11",0.932337188725263
"12",0.959166796886774
"13",0.942820709084839
"14",0.928344903589111
"15",0.935984672899101
"16",0.949749073774078
"17",0.947064924127479
"18",0.948183418887014
"19",0.935882841288072
"20",0.934594614242554
"21",0.953228228776825
"22",0.948135670816383
"23",0.934616766443512
"24",0.937634932455023
"25",0.955806074070936
"26",0.926295367059551
"27",0.952425770305051
"28",0.938323333380261
"29",0.928418661542563
"30",0.950008071855431
"31",0.944674482900805
"32",0.929777239047782
"33",0.953182843039946
"34",0.943875511916909
"35",0.947597545000278
"36",0.942645104879529
"37",0.943344488117674
"38",0.929343845927336
"39",0.947356523107113
"40",0.947127979549054
"41",0.929479299514962
"42",0.950855929079316
"43",0.949429333460236
"44",0.929791761302989
"45",0.948760584714602
"46",0.937567351459641
"47",0.939901874741521
"48",0.954355522401649
"49",0.931679091462252
"50",0.948022453312078
"51",0.928241304243055
"52",0.934489840446347
"53",0.93578600150026
"54",0.93791526777535
"55",0.957038706818746
"56",0.937069489200832
"57",0.953312048579171
"58",0.931096896902775
"59",0.942306299076032
"60",0.949185351568652
"61",0.942586025879802
"62",0.933519251896433
"63",0.944761025450579
"64",0.950413119997457
"65",0.928486457724858
"66",0.934026022260885
"67",0.949462334313631
"68",0.93876217623184
"69",0.943111822653684
"70",0.944888408480773
"71",0.938851921589199
"72",0.951905729044646
"73",0.952265271997238
"74",0.929895416208695
"75",0.952572899557099
"76",0.937482875956715
"77",0.955538585973967
"78",0.948251110549655
"79",0.9325419208755
"80",0.947921393338556
"81",0.939121883388515
"82",0.92788737160563
"83",0.941631727709346
"84",0.957324285796387
"85",0.933389488193292
"86",0.941138055027462
"87",0.950151890979616
"88",0.94222481612977
"89",0.949639555210223
"90",0.939605775370078
"91",0.940636823344053
"92",0.947481389554537
"93",0.941665804418299
"94",0.948808034783781
"95",0.945232191373607
"96",0.951653230057497
"97",0.957558061928161
"98",0.936444354523593
"99",0.937705407181892
"100",0.95933075298561
"101",0.942693084119248
"102",0.942374081252751
"103",0.954002076549694
"104",0.953741526233937
"105",0.948886881780379
"106",0.936031876473485
"107",0.94024157837756
"108",0.934354133042465
"109",0.943813564454591
"110",0.945344321618826
"111",0.955487408912941
"112",0.928401687273529
"113",0.945975013098435
"114",0.953134898710339
"115",0.948017798789728
"116",0.926537355829025
"117",0.933155594297789
"118",0.947710727549535
"119",0.930547019372878
"120",0.950692250947813
"121",0.925441053080916
"122",0.947642622803718
"123",0.930604855475865
"124",0.938389296052054
"125",0.948934671834267
"126",0.933168931069197
"127",0.931199809300897
"128",0.939972477740813
"129",0.928934524160629
"130",0.944474331869136
"131",0.932124274684831
"132",0.948789465102182
"133",0.931507833640562
"134",0.942184246142639
"135",0.933680728628008
"136",0.950186747573505
"137",0.93865206755184
"138",0.937982536086631
"139",0.929276776443725
"140",0.953616091106861
"141",0.943872247657544
"142",0.939286911342786
"143",0.947867317523672
"144",0.943367025317149
"145",0.947128750883397
"146",0.927022381719656
"147",0.940456347214425
"148",0.945007914612864
"149",0.940852632444118
"150",0.931842673613673
"151",0.947492593285258
"152",0.953512843377792
"153",0.948761494531624
"154",0.940959702657475
"155",0.941328328180784
"156",0.95621678247865
"157",0.933628365351621
"158",0.954994079048018
"159",0.947806395690681
"160",0.92793951867306
"161",0.927724830042388
"162",0.951175810885762
"163",0.944812990901818
"164",0.934425708223735
"165",0.946611958864865
"166",0.950897232258066
"167",0.931326660281447
"168",0.941614448189212
"169",0.930635411740701
"170",0.928262217760853
"171",0.953683976288733
"172",0.937326238054436
"173",0.940394270803553
"174",0.932623090314684
"175",0.938860993733928
"176",0.951056654424444
"177",0.945310891768301
"178",0.94820984129481
"179",0.946457883600575
"180",0.928330326837879
"181",0.951442057721944
"182",0.923534878173215
"183",0.947218928747311
"184",0.953187499027742
"185",0.950048853361394
"186",0.94767755692461
"187",0.935182497623068
"188",0.949879377021165
"189",0.937566047695
"190",0.94271018414003
"191",0.947350604366801
"192",0.945006869993484
"193",0.927050467163717
"194",0.944413195910132
"195",0.936294267895267
"196",0.935105018906607
"197",0.949722250885567
"198",0.954801545336944
"199",0.93720297734797
"200",0.934257114574688
"201",0.948704841315505
"202",0.948373363610942
"203",0.940798702821139
"204",0.936340175286442
"205",0.95246158495687
"206",0.943618662625684
"207",0.950996872872287
"208",0.936872862828391
"209",0.93196764604689
"210",0.946682691551473
"211",0.948327709245328
"212",0.958857451766936
"213",0.945939055422337
"214",0.951432735723036
"215",0.949865938892115
"216",0.942831692422202
"217",0.962373526075038
"218",0.954322691834752
"219",0.946881551356324
"220",0.952495846891227
"221",0.934827854226213
"222",0.927409264689263
"223",0.951048616814188
"224",0.932002664216307
"225",0.926360639336813
"226",0.947069661800991
"227",0.948300666519709
"228",0.944808112097503
"229",0.935572168846517
"230",0.950069552942491
"231",0.925991410693864
"232",0.938402547148868
"233",0.932832080125839
"234",0.961393855744919
"235",0.935559348378343
"236",0.950509791935664
"237",0.956576273195792
"238",0.940120420342509
"239",0.931782111871502
"240",0.952368559003975
"241",0.96217725953653
"242",0.948983137900506
"243",0.951894599007495
"244",0.960495550651934
"245",0.953011731234082
"246",0.934467134504715
"247",0.95238494366282
"248",0.94372073466737
"249",0.930668597951843
"250",0.953154918202193
"251",0.93576878803998
"252",0.938650206822657
"253",0.946519435461105
"254",0.93858498354491
"255",0.940056367834306
"256",0.953901268571497
"257",0.943368052546184
"258",0.925183077425528
"259",0.955362875065538
"260",0.950340079788887
"261",0.949587902162655
"262",0.947413667669293
"263",0.941087844286104
"264",0.947100171302874
"265",0.925893532773941
"266",0.946939112999737
"267",0.917743125764941
"268",0.952949341493466
"269",0.933933970272271
"270",0.938891314093737
"271",0.938760941564533
"272",0.937079196195764
"273",0.95147752863769
"274",0.938215364283747
"275",0.933292283797512
"276",0.929576481277215
"277",0.931284531401846
"278",0.953052439217073
"279",0.943956502693449
"280",0.943197687188537
"281",0.952019494343245
"282",0.952064362343487
"283",0.953982520019677
"284",0.93181537949804
"285",0.948607557221162
"286",0.953852854781469
"287",0.93124506249779
"288",0.94906021134267
"289",0.931258437953025
"290",0.958528239686042
"291",0.93817072382227
"292",0.9342381448986
"293",0.949060337525794
"294",0.946775606885096
"295",0.920619873068635
"296",0.921817115064629
"297",0.944355860848108
"298",0.929729125208518
"299",0.920423043360173
"300",0.919964397880887
"301",0.916799590042244
"302",0.930954758208057
"303",0.928764355903815
"304",0.92208618307431
"305",0.918526847524388
"306",0.916836541331915
"307",0.930150022330606
"308",0.930483404665032
"309",0.926469357735668
