"","V1","V2","V3","V4","V5"
"result.2217",-111036.863250092,-111123.756016293,-111099.236831634,-110934.429123611,-110596.197336205
"result.2218",-110667.504235229,-110804.574497933,-110855.052640478,-110785.675426369,-110580.422051713
"result.2219",-111478.477931153,-111659.612328645,-111708.057948927,-111621.669860492,-111327.543363405
"result.2220",-111716.668823067,-111742.803943443,-111728.263848043,-111588.468189001,-111234.259751995
"result.2221",-111624.233224841,-111606.558061948,-111542.547024811,-111347.822010103,-110976.012935133
"result.2222",-112220.177791644,-112280.372154034,-112293.999483675,-112189.979087068,-111925.495545088
"result.2223",-112036.941185235,-112088.735231273,-112089.61571481,-111992.834565177,-111738.873169044
"result.2224",-111213.288750168,-111188.80591697,-111162.295299377,-110986.810191258,-110661.419833672
"result.2225",-112174.005805512,-112197.979968983,-112141.722709081,-111959.486380406,-111610.520746493
"result.2226",-112067.97233171,-112174.983531381,-112195.030361748,-112052.837893513,-111810.226220842
"result.2227",-112608.081393699,-112753.404214806,-112735.760583213,-112646.517850882,-112370.956047015
"result.2228",-111846.782514401,-112131.229404016,-112167.199043934,-112174.984479798,-112067.046473314
"result.2229",-109963.619180743,-110209.325910196,-110248.892644482,-110179.153403539,-110011.712928682
"result.2230",-110315.316141069,-110503.081179538,-110476.15834424,-110372.132440844,-110153.579247243
"result.2231",-112697.99252789,-112837.388885467,-112831.484603531,-112760.196516957,-112550.192258181
"result.2232",-112653.195569372,-112701.27984503,-112676.718807043,-112516.608196412,-112218.00677652
"result.2233",-112279.034243834,-112300.441320448,-112293.553881503,-112120.142123854,-111752.851104361
"result.2234",-110884.885819339,-110871.22078802,-110828.457379014,-110679.885578817,-110383.361419072
"result.2235",-113135.958984983,-113155.23520887,-113117.835536991,-112932.018609767,-112557.303392199
"result.2236",-113227.641596309,-113192.122842955,-113112.620458335,-112896.934546627,-112597.480165607
"result.2237",-111339.016350574,-111253.027402732,-111162.222575306,-110941.642106371,-110580.991815384
"result.2238",-111688.651559166,-111651.538455231,-111552.733425944,-111291.05331536,-110846.84593426
"result.2239",-112296.434963002,-112279.706102528,-112225.3815493,-112036.421840651,-111675.239641798
"result.2240",-111824.877108558,-111895.7575022,-111893.444733263,-111759.615520625,-111472.839262365
"result.2241",-111406.184657263,-111513.744708623,-111550.300586479,-111446.680111784,-111179.375467987
"result.2242",-110989.023677522,-111106.253989844,-111155.777708027,-111107.31829306,-110881.915851844
"result.2243",-110721.297299205,-110912.385831341,-110988.174114286,-110946.167368084,-110642.356015603
"result.2244",-110453.494834708,-110665.74438268,-110757.019163364,-110747.592221177,-110552.783862703
"result.2245",-110749.229173418,-110952.200774718,-111135.198403267,-111100.493401368,-110924.754784588
"result.2246",-108762.136778144,-108964.769137146,-109089.004798414,-109115.105390978,-108963.658852616
"result.2247",-108798.298121153,-108851.931100511,-108902.887191422,-108830.854104914,-108583.44605332
"result.2248",-108864.260577332,-108984.185290593,-109039.316455085,-108949.099313904,-108736.750368919
"result.2249",-107580.332937621,-107568.79820404,-107566.691059325,-107410.603930365,-107086.486544646
"result.2250",-106697.484083066,-106798.361398859,-106894.3951969,-106831.199670408,-106608.972125181
"result.2251",-106163.321174341,-106170.821278892,-106196.126068515,-106088.641841239,-105862.325415563
"result.2252",-105637.451638538,-105655.29797886,-105689.148034873,-105639.757855692,-105424.976738392
"result.2253",-105358.06236268,-105357.534017024,-105424.73833306,-105353.523928781,-105099.583259291
"result.2254",-105189.915247897,-105190.42505636,-105239.493092415,-105120.11721558,-104816.31849687
"result.2255",-105063.132014922,-105108.256195515,-105201.697901781,-105159.052784445,-104975.528102357
"result.2256",-104885.61917147,-104938.14727543,-105062.751283138,-105005.355183307,-104757.573111227
"result.2257",-105024.189837021,-105143.226364881,-105238.208489331,-105167.26219511,-104979.52744985
"result.2258",-104672.823954227,-104661.006884723,-104664.862190774,-104576.121629232,-104311.743047271
"result.2259",-105213.375654355,-105203.416836502,-105221.732285495,-105127.067946266,-104825.309092255
"result.2260",-96059.8821820258,-96082.6999469315,-96227.1673267106,-96189.5898286314,-95939.6466868041
"result.2261",-105365.418825502,-105320.386800449,-105298.357863662,-105119.263372818,-104805.554857091
"result.2262",-104832.94028052,-104938.186710071,-105064.757269074,-105044.159437636,-104804.62255845
"result.2263",-104870.335466249,-104862.036613031,-104894.765533616,-104761.244737576,-104472.293463009
"result.2264",-105360.933329299,-105335.831306801,-105352.391543329,-105284.761886436,-105015.392340353
"result.2265",-104981.359607392,-104970.037650496,-104927.476958211,-104752.329740939,-104432.704024022
"result.2266",-105533.129426059,-105523.16757081,-105564.266990654,-105456.250868425,-105159.801795891
"result.2267",-105196.498706755,-105206.163460526,-105271.726790758,-105215.969826618,-105013.324822196
"result.2268",-105506.771116015,-105592.316860786,-105686.396038524,-105611.282472035,-105348.867953131
"result.2269",-105901.139357946,-105977.312199665,-106023.20183342,-105924.971170441,-105645.608702526
"result.2270",-105932.024730175,-105971.039466896,-106041.225668554,-106019.793098462,-105804.082846339
"result.2271",-106410.158878953,-106431.163482039,-106451.018919385,-106325.240668217,-106092.10212704
"result.2272",-106873.896235806,-106979.885360563,-107050.516221996,-106988.184983402,-106769.236913252
"result.2273",-107313.517916479,-107398.779825733,-107472.318382093,-107409.470475873,-107190.37656135
"result.2274",-107352.817561145,-107397.410226781,-107406.687498486,-107279.763560253,-106996.307053205
"result.2275",-107338.48290931,-107443.605943905,-107461.350641791,-107373.558220119,-107113.789275156
"result.2276",-109791.609790336,-109859.35495636,-109860.597733232,-109779.06981755,-109522.700232363
"result.2277",-110664.409645461,-110798.128716114,-110860.674973317,-110791.461303315,-110556.237460334
"result.2278",-111704.241286862,-111834.256451192,-111886.879389548,-111841.282442921,-111567.868002709
"result.2279",-111367.651591412,-111460.706924981,-111426.879705369,-111275.405213266,-110994.639049486
"result.2280",-110792.892721391,-110968.399533176,-111036.41271495,-111011.712555264,-110787.082693906
"result.2281",-111635.415446627,-111696.753179258,-111705.355315313,-111569.256411718,-111250.256056216
"result.2282",-111802.998788663,-111840.952534508,-111784.163927371,-111657.66090153,-111242.892205029
"result.2283",-112442.882295208,-112651.547205286,-112718.479595963,-112612.428357581,-112380.932652144
"result.2284",-112091.272673304,-112128.352009684,-112164.889247796,-112000.830688,-111701.733659881
